fid,hilarriid,nididfull,nidid,otrstrctid,grand_id,dam_name,longitude,latitude,state,loc_flag,eha_cmplx,eha_ptid,pt_name,pt_lat,pt_lon,eia_ptid,fcdocket,nhdv2comid,nhdwbcomid,nhdwbflag,hylake_id,hylakeflag,lagoslkid,lagosflag,nhdhr_id,nhdhr_flag,huc_02,huc_12,ehadamflag,statusflag,ra2012_flag,pipestatus,ret_year,ar_rem_id,rem_year,dataset,atrbtnotes,loc_type,prjct_type,prjct_dtl,usgs_gage,gage_flag,sed_dsnum,NLA_2007,NLA_2012,NLA_2017,NLA_2022
"116","3009",AK00093,AK00093,NA,"-9999",LOWER EKLUTNA,-149.325,61.45,AK,NA,NA,NA,NA,-9999,-9999,NA,NA,"-9999","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"19","190204010105",Dam removed according to American Rivers.,Hydropower is a reported purpose in the NID. No associated power plant is in the EHA.,NA,NA,"-9999",AK-010,"2017","Hydropower dam only; no reservoir or power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"117","3010",AK00103,AK00103,NA,"-9999",CHIGNIK,-158.412,56.28082,AK,NA,hc7001,hc7001_p01,CHIGNIK,56.2867,-158.4233,NA,P-620,"-9999","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"19","190207021505",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with power plant; no reservoir",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"118","3011",AK00142,AK00142,NA,"-9999",GRANITE DIVERSION,-131.6127,55.35409,AK,NA,NA,NA,NA,-9999,-9999,NA,NA,"-9999","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"19","190101020402",NA,Hydropower is a reported purpose in the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam only; no reservoir or power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"119","3012",AK00184,AK00184,NA,"-9999",BLUFF LAKE DIVERSION,-131.4505,55.778057,AK,NA,NA,NA,NA,-9999,-9999,NA,NA,"-9999","-9999",NA,"784762",NA,"-9999",NA,NA,NA,"19","190101020208",NA,Hydropower is a reported purpose in the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"120","3013",AK00207,AK00207,NA,"-9999",MAHOONA DAM,-152.4819,57.9232,AK,NA,hc4116,hc4116_p01,MAHOONA LAKE,57.9232,-152.4819,"7410",NA,"-9999","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"19","190207011410",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with power plant; no reservoir",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"121","3014",AK00264,AK00264,NA,"-9999",AKUTAN HYDRO DAM,-165.772,54.14359,AK,NA,hc9013,hc9013_p01,TOWN CREEK,54.126,-165.774,NA,NA,"-9999","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"19","190301020704",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with power plant; no reservoir",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"122","3015",AK00306,AK00306,NA,"-9999",CHUNIIXSAX HYDRO DAM,-174.1971,52.19014,AK,NA,hc9015,hc9015_p01,TEN MILE,52.19,-174.197,NA,NA,"-9999","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"19","190301030000",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with power plant; no reservoir",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"123","3016",AK83009,AK83009,NA,"-9999",SHOTGUN CREEK DIV,-152.9379,57.65548,AK,NA,NA,NA,NA,-9999,-9999,NA,NA,"-9999","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"19","190207011301",NA,Hydropower is a reported purpose in the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam only; no reservoir or power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"124","3017",AK83013,AK83013,NA,"8",SWAN LAKE,-131.3418,55.61538,AK,NA,hc1743,hc1743_p01,SWAN LAKE,55.5319,-131.4053,"70",P-2911,"-9999","-9999",NA,"77585",NA,"-9999",NA,NA,NA,"19","190101020502",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"125","3018",AK84001,AK84001,NA,"-9999",BART LAKE DAM,-134.0256,58.22718,AK,NA,NA,NA,NA,-9999,-9999,NA,NA,"-9999","-9999",NA,"710472",NA,"-9999",NA,NA,NA,"19","190103040904",NA,Hydropower is a reported purpose in the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"126","895",AL00292,AL00292,NA,"-9999",ELBA,-86.0936,31.364,AL,NA,hc7436,hc7436_p01,ELBA,31.364,-86.0936,NA,P-10691,"2214986","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"03","031402020603",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with power plant; no reservoir",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"127","893",AL01413,AL01413,NA,"-9999",POINT A,-86.5184,31.361,AL,NA,hc1596,hc1596_p01,POINT A,31.361,-86.5184,"55",P-2586,"2378929","2377435",NA,"113770",NA,"234508",NA,"74557670",NA,"03","031403010501",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-02372422,NA,"-9999",NA,NA,NA,NA
"128","894",AL01414,AL01414,NA,"1911",GANTT,-86.4796,31.4032,AL,NA,hc1595,hc1595_p01,GANTT,31.4032,-86.4796,"53",P-2586,"2378075","2377351",NA,"113766",NA,"233339",NA,"74557502",NA,"03","031403010405",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NLA06608-0618,NA,NA,NA
"129","910",AL01415,AL01415,NA,"1860",WEISS - MAIN DAM,-85.79396,34.13231,AL,NA,hc1261,hc1261_p01,WEISS DAM,34.1721,-85.7539,"20",P-2146,"15823701","15822839",NA,"9400",NA,"237213",NA,"136275826",NA,"03","031501051003",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NLA06608-2831,NA,NA,NA
"130","908",AL01416,AL01416,NA,"1870",H. NEELY HENRY,-86.05342,33.78379,AL,NA,hc1260,hc1260_p01,H NEELY HENRY DAM,33.7833,-86.0533,"11",P-2146,"26132921","166759059",Multiple infrastructure features matched to this waterbody. Waterbody is not accurate.,"9417",NA,"236201",NA,"89500769",NA,"03","031501060409",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NLA17_AL-10002,NA
"131","906",AL01417,AL01417,NA,"1880",LOGAN MARTIN,-86.33688,33.42545,AL,NA,hc1259,hc1259_p01,LOGAN MARTIN DAM,33.4267,-86.3383,"14",P-2146,"22206681","166759059",Multiple infrastructure features matched to this waterbody. Waterbody is not accurate.,"9428",NA,"236199",NA,"89504899",NA,"03","031501060810",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-02407000,NA,"-9999",NLA06608-2955,NLA12_AL-103,NLA17_AL-10002,NA
"132","904",AL01418,AL01418,NA,"1895",LAY,-86.5171,32.9637,AL,NA,hc1258,hc1258_p01,LAY DAM,32.9637,-86.5171,"15",P-2146,"22276352","166745462",Multiple infrastructure features matched to this waterbody. Waterbody is not accurate.,"9451",NA,"244044",NA,"120024200",NA,"03","031501070503",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"12004",NLA06608-0395,NA,NA,NES22-10039
"133","898",AL01419,AL01419,NA,"1904",WALTER BOULDIN,-86.2833,32.5838,AL,NA,hc1257,hc1257_p01,WALTER BOULDIN DAM,32.5838,-86.2833,"4",P-2146,"-9999","166745462",Multiple infrastructure features matched to this waterbody. Waterbody is not accurate.,"113602",NA,"236196",Multiple infrastructure features matched to this waterbody. Waterbody is not accurate.,"89423661",Multiple infrastructure features matched to this waterbody. Waterbody is not accurate.,"03","031502010101",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NLA06608-1323,NA,NA,NES22-10039
"134","909",AL01420,AL01420,NA,"1867",LEWIS SMITH,-87.1065,33.94214,AL,NA,hc1269,hc1269_p01,LEWIS SMITH,33.9417,-87.1083,"18",P-2165,"18581863","166759211",NA,"9412",NA,"247445",NA,"86413139",NA,"03","031601100507",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NLA06608-0203,NA,NA,NA
"135","899",AL01421,AL01421,NA,"-9999",YATES,-85.88964,32.57424,AL,NA,hc1451,hc1451_p01,YATES DAM,32.5744,-85.8893,"21",P-2407,"21713298","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"03","031501100406",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with power plant; no reservoir",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"136","900",AL01422,AL01422,NA,"1905",THURLOW,-85.88785,32.53547,AL,NA,hc1452,hc1452_p01,THURLOW DAM,32.535,-85.8883,"19",P-2407,"21712852","-9999",NA,"113615",NA,"-9999",NA,NA,NA,"03","031501100406",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"137","902",AL01423,AL01423,NA,"1902",JORDAN,-86.2583,32.6187,AL,NA,hc1059,hc1059_p01,JORDAN DAM,32.6187,-86.2583,"13",P-2146,"22276630","166745462",Multiple infrastructure features matched to this waterbody. Waterbody is not accurate.,"9469",NA,"236196",Multiple infrastructure features matched to this waterbody. Waterbody is not accurate.,"89423661",Multiple infrastructure features matched to this waterbody. Waterbody is not accurate.,"03","031501070906",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-02411000,NA,"-9999",NLA06608-1323,NA,NA,NES22-10039
"138","903",AL01424,AL01424,NA,"1899",MITCHELL,-86.44504,32.80567,AL,NA,hc1010,hc1010_p01,MITCHELL,32.805,-86.4467,"17",P-2146,"22276502","166745462",Multiple infrastructure features matched to this waterbody. Waterbody is not accurate.,"9458",NA,"241071",NA,"89422427",NA,"03","031501070906",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NES22-10039
"139","901",AL01425,AL01425,NA,"1900",MARTIN,-85.91039,32.68024,AL,NA,hc1037,hc1037_p01,MARTIN DAM,32.68,-85.9117,"16",P-349,"21713200","166759070",NA,"833",NA,"-9999",NA,NA,NA,"03","031501100406",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"140","905",AL01426,AL01426,NA,"-9999",HOLT LOCK AND DAM,-87.44948,33.25405,AL,NA,hc0312,hc0312_p01,HOLT,33.255,-87.45,"12",P-2203,"18229845","166759236",Multiple infrastructure features matched to this waterbody. Waterbody is not accurate.,"-9999",NA,"244057",NA,"131265850",NA,"03","031601120505",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-02462951,NA,"-9999",NLA06608-2187,NLA12_AL-101,NLA17_AL-10001,NA
"141","907",AL01427,AL01427,NA,"-9999",JOHN HOLLIS BANKHEAD LOCK DAM,-87.35636,33.4584,AL,NA,hc0311,hc0311_p01,BANKHEAD,33.4586,-87.356,"2",P-2165,"18229351","166759236",Multiple infrastructure features matched to this waterbody. Waterbody is not accurate.,"-9999",NA,"246088",NA,"131264255",NA,"03","031601120203",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-02462500,NA,"-9999",NA,NA,NLA17_AL-10001,NA
"142","892",AL01430,AL01430,NA,"-9999",DEMOPOLIS LOCK AND DAM,-87.87907,32.52077,AL,NA,NA,NA,DEMOPOLIS LOCK & DAM,32.52,-87.879997,NA,P-13102,"18540822","21677972",NA,"-9999",NA,"244749",NA,"149032027",NA,"03","031602010401",NA,In development pipeline,Was included in the 2012 ORNL NPD Resource Assessment.,Issued License,"-9999",NA,"-9999",Project is in development pipeline,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NLA17_AL-10003,NLA22_AL-10067
"143","922",AL01432,AL01432,NA,"1910","WALTER F GEORGE LOCK,DAM,POWERHOUSE",-85.06436,31.62527,AL,NA,hc0271,hc0271_p01,WALTER F GEORGE,31.62578648,-85.06389871,"761",NA,"3443790","166758723",NA,"837",NA,"225407",NA,"146922157",NA,"03","031300040104",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"144","897",AL01434,AL01434,NA,"-9999",ROBERT F. HENRY LOCK AND DAM,-86.784,32.32424,AL,NA,hc0261,hc0261_p01,JONES BLUFF,32.32438322,-86.78387518,"6131",NA,"21687490","120052975",NA,"-9999",NA,"237209",NA,"95535371",NA,"03","031502011202",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NLA06608-2091,NA,NA,NA
"145","896",AL01435,AL01435,NA,"-9999","MILLERS FERRY LOCK,DAM & POWERHOUSE",-87.39983,32.10089,AL,NA,hc0253,hc0253_p01,MILLERS FERRY,32.10098862,-87.39958604,"38",NA,"21456716","21454020",NA,"-9999",NA,"243036",NA,"150319633",Infrastructure matched to multiple waterbodies.,"03","031502030701",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NLA17_AL-10019,NLA22_AL-10059
"146","1389",AL07701,AL07701,NA,"1835",WHEELER,-87.381884,34.806432,AL,NA,hc0828,hc0828_p01,WHEELER DAM,34.81356915,-87.38268544,"49",NA,"25324445","167679168",NA,"818",NA,"274265",NA,"88572193",NA,"06","060300021205",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NID2021 dam height and NID2021 max volume is not accurate,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-03589500,NA,"-9999",NA,NA,NA,NA
"147","1390",AL07702,AL07702,NA,"7306",WILSON,-87.625514,34.799968,AL,NA,hc0830,hc0830_p01,WILSON DAM,34.80484855,-87.62656351,"6440",NA,"19633472","166997604",NA,"9376",NA,"274997",NA,"87864655",NA,"06","060300050801",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"148","1388",AL09501,AL09501,NA,"1847",GUNTERSVILLE,-86.39222,34.423673,AL,NA,hc0812,hc0812_p01,GUNTERSVILLE,34.42612075,-86.39140184,"48",NA,"19626226","167182204",Infrastructure matched to multiple waterbodies.,"820",NA,"273808",NA,"88572193",NA,"06","060300020902",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"149","911",AL83001,AL83001,NA,"1889",R. L. HARRIS,-85.61606,33.25829,AL,NA,hc1618,hc1618_p01,HARRIS,33.2585,-85.613,"6188",P-2628,"22042571","-9999",NA,"9437",NA,"-9999",NA,NA,NA,"03","031501090105",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"150","1592",AR00150,AR00150,NA,"1112",BLAKELY MOUNTAIN DAM,-93.19501,34.57301,AR,NHDWB,hc0207,hc0207_p01,BLAKELY MOUNTAIN,34.57339268,-93.1951605,"197",NA,"15234454","15231972",NA,"819",NA,"292017",NA,"120031867",NA,"08","080401010604",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-07357501,NA,"-9999",NA,NA,NA,NA
"151","1593",AR00151,AR00151,NA,"1121",DEGRAY DAM,-93.11075,34.21434,AR,NA,hc0221,hc0221_p01,DEGRAY,34.22,-93.11,"187",NA,"22002034","22000120",NA,"9398",NA,"290706",NA,"62755565",NA,"08","080401020405",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,GRanDv1.3 dam height is not accurate,Coordinates reflect the location of the dam,Hybrid conventional/PSH,Hybrid conventional/PSH,USGS-07359910,NA,"-9999",NA,NA,NA,NA
"152","1594",AR00154,AR00154,NA,"1125",NARROWS DAM,-93.71564,34.1486,AR,NA,hc0254,hc0254_p01,NARROWS,34.14876221,-93.71561043,"195",NA,"22700512","22697680",NA,"9405",NA,"288867",NA,"64937539",NA,"08","080401030107",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-07360501,NA,"-9999",NA,NA,NA,NA
"153","1752",AR00159,AR00159,NA,"1042",NORFORK,-92.23826,36.24957,AR,NHDPlusV2,hc0255,hc0255_p01,NORFORK,36.24824034,-92.23749117,"196",NA,"7653893","120052259",NA,"9322",NA,"132203",NA,"105341319",NA,"11","110100061003",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"44007",NA,NA,NA,NA
"154","1758",AR00160,AR00160,NA,"1036",BULL SHOALS,-92.57523,36.36599,AR,NHDPlusV2,hc0211,hc0211_p01,BULL SHOALS,36.36624008,-92.57455097,"198",NA,"7629426","167299818",NA,"808",NA,"6302",NA,"120032533",NA,"11","110100031106",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"155","1783",AR00162,AR00162,NA,"1078",DARDANELLE LOCK & DAM,-93.17005,35.24958,AR,NA,hc0220,hc0220_p01,DARDANELLE,35.24909908,-93.1707767,"199",NA,"7790194","7767759",NA,"9357",NA,"390650",NA,"68513793",NA,"11","111102030302",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"44013",NA,NA,NA,NA
"156","1784",AR00163,AR00163,NA,"-9999",JAMES W. TRIMBLE LOCK & DAM,-94.29714,35.3506,AR,NA,hc0328,hc0328_p01,JAMES TRIMBLE LOCK AND DAM,35.35,-94.2976,"7040",P-3043,"7756174","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"11","111102010104",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with power plant; no reservoir",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-07250551,NA,"-9999",NA,NA,NA,NA
"157","1790",AR00164,AR00164,NA,"-9999",OZARK LOCK & DAM,-93.81413,35.47196,AR,NA,hc0258,hc0258_p01,OZARK,35.47211755,-93.8145993,"6142",NA,"7754500","120052270",NA,"-9999",NA,"390648",NA,"120032808",NA,"11","111102010906",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"44015",NA,NA,NA,NA
"158","1782",AR00165,AR00165,NA,"-9999",ARTHUR V. ORMOND LOCK&DAM,-92.78743,35.12539,AR,NA,hc0329,hc0329_p01,ARTHUR ORMOND LOCK & DAM,35.1252,-92.7874,"7135",P-3044,"7789028","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"11","111102030304",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with power plant; no reservoir",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"44017",NA,NA,NA,NA
"159","1595",AR00169,AR00169,NA,"-9999",WILBUR D. MILLS DAM,-91.31373,33.98865,AR,NA,hc0326,hc0326_p01,DAM 2,33.989,-91.313,"7246",P-3033,"15336634","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"08","080204010404",NA,Power plant is included in the EHA. Hydropower is not reported as a purpose in any dam inventory.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with power plant; no reservoir",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"15033",NA,NA,NA,NA
"160","1788",AR00171,AR00171,NA,"-9999",MURRAY LOCK & DAM,-92.35857,34.79198,AR,NA,hc0376,hc0376_p01,MURRAY,34.7943,-92.3578,"7166",P-3449,"22848095","22845333",NA,"-9999",NA,"393507",NA,"60995081",NA,"11","111102070401",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-07263450,NA,"15038",NA,NA,NA,NA
"161","1786",AR00173,AR00173,NA,"1067",GREERS FERRY,-91.99423,35.52118,AR,NHDPlusV2,hc0234,hc0234_p01,GREERS FERRY LAKE,35.52113455,-91.99345803,"188",NA,"11774999","167299819",NA,"811",NA,"375816",NA,"120032194",NA,"11","110100140606",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"162","1759",AR00174,AR00174,NA,"1033",BEAVER,-93.84762,36.42221,AR,NA,hc0204,hc0204_p01,BEAVER,36.42108248,-93.8481779,"182",NA,"8589764","167299813",NA,"9313",NA,"121288",NA,"79851543",NA,"11","110100010803",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-07050000,NA,"-9999",NA,NA,NA,NA
"163","1591",AR00534,AR00534,NA,"1116",CARPENTER,-93.026435,34.442712,AR,NA,hc1030,hc1030_p01,CARPENTER,34.4428,-93.0265,"166",P-271,"15238738","167794922",NA,"9387",NA,"292666",NA,"58159519",NA,"08","080401010806",NA,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"15001",NLA06608-1204,NLA12_AR-103,NLA17_AR-10002,NES22-10107
